,Test,Accuracy,Precision,Recall,F1 Score
0,1,0.33666666666666667,0.4448160535117057,0.33666666666666667,0.1736850376767
1,2,0.33666666666666667,0.4448160535117057,0.33666666666666667,0.1736850376767
2,3,0.33666666666666667,0.4448160535117057,0.33666666666666667,0.1736850376767
3,4,0.33666666666666667,0.4448160535117057,0.33666666666666667,0.1736850376767
4,5,0.3333333333333333,0.11111111111111109,0.3333333333333333,0.16666666666666666
5,6,0.3333333333333333,0.11111111111111109,0.3333333333333333,0.16666666666666666
6,7,0.3333333333333333,0.11111111111111109,0.3333333333333333,0.16666666666666666
7,8,0.33666666666666667,0.4448160535117057,0.33666666666666667,0.1736850376767
8,9,0.3333333333333333,0.11111111111111109,0.3333333333333333,0.16666666666666666
9,10,0.33666666666666667,0.4448160535117057,0.33666666666666667,0.1736850376767
