Test,Accuracy,Precision,Recall,F1 Score
1,0.7233333333333334,0.8448417254387405,0.7233333333333334,0.7250452361914655
2,0.73,0.8362770562770563,0.73,0.735543018270911
3,0.72,0.8224685276409415,0.72,0.7246578811198819
4,0.6833333333333333,0.807521327988488,0.6833333333333333,0.6840869581157463
5,0.74,0.8452878464818764,0.74,0.7442067763207763
6,0.75,0.8472881827921971,0.75,0.7548572289274501
7,0.71,0.8221300486006368,0.71,0.7109857978279032
8,0.72,0.825496342737722,0.72,0.7247924002006927
9,0.71,0.793765815504946,0.71,0.7145952453581369
10,0.7166666666666667,0.8357075795327339,0.7166666666666667,0.7191265333484467
