Test,Accuracy,Precision,Recall,F1 Score
1,0.33666666666666667,0.4448160535117057,0.33666666666666667,0.1736850376767
2,0.34,0.44519015659955263,0.34,0.1805760830295267
3,0.3333333333333333,0.11111111111111109,0.3333333333333333,0.16666666666666666
4,0.34,0.44519015659955263,0.34,0.1805760830295267
5,0.3333333333333333,0.11111111111111109,0.3333333333333333,0.16666666666666666
6,0.33666666666666667,0.4448160535117057,0.33666666666666667,0.1736850376767
7,0.33666666666666667,0.4448160535117057,0.33666666666666667,0.1736850376767
8,0.33666666666666667,0.4448160535117057,0.33666666666666667,0.1736850376767
9,0.3333333333333333,0.11111111111111109,0.3333333333333333,0.16666666666666666
10,0.3433333333333333,0.4455667789001122,0.3433333333333333,0.18734358823865072
